EVTDESC1000204;We have proven in battle that we are truly worth the title we were fighting for. The Russian Empire will have to agree to our demands and our position in the Eastern Christendom will be restored.;;;;;;;;;;;;x;
EVTNAME1000205;The War is Lost!;;;;;;;;;;;;;x
EVTDESC1000205;We have lost the war and forever lost the right to call ourselves the Protectors of Eastern Christendom. The new title owners have proven themselves to be more suitable for this role and we'll have to set our sights elsewhere.;;;;;;;;;;;;x;
EVTNAME1000300;Proposition for a new capital;;;;;;;;;;;;;x
EVTDESC1000300;With our kingdom united once again suggestions started appearing about changing our capital to better suit the united country. Should we change it to a more suitable place or keep things as they are?;;;;;;;;;;;;x;
byzantine_anatolia_title;Byzantine Anatolia;;;;;;;;;;;;;x
byzantine_anatolia_desc;We should restore the proper names of Anatolian provinces.;;;;;;;;;;;;x;
restore_anatolia_title;Restore Anatolia;;;;;;;;;;;;;x
restore_anatolia_desc;We returned Anatolia under Turkish rule and should return the respective names for its provinces.;;;;;;;;;;;;x;
byzantine_armenia_title;Byzantine Armenia;;;;;;;;;;;;;x
byzantine_armenia_desc;The return of Armenian lands should be accompanied with the restoration of their proper names.;;;;;;;;;;;;x;
restore_armenia_not_TUR_title;Restore Armenia;;;;;;;;;;;;;x
restore_armenia_not_TUR_desc;We should restore the Armenian names to the reclaimed provinces.;;;;;;;;;;;;x;
restore_armenia_TUR_title;Restore Armenia;;;;;;;;;;;;;x
restore_armenia_TUR_desc;We returned our Armenian lands and should restore their proper names.;;;;;;;;;;;;x;
byzantine_levant_title;Byzantine Levant;;;;;;;;;;;;;x
byzantine_levant_desc;Levant is ours and its province names should be restored to respective old names.;;;;;;;;;;;;x;
restore_levant_title;Restore Levant;;;;;;;;;;;;;x
restore_levant_desc;Levant is returned and the names of its provinces should be restored.;;;;;;;;;;;;x;
byzantine_egypt_title;Byzanine Egypt;;;;;;;;;;;;;x
byzantine_egypt_desc;Aegyptus has been returned and should be assigned proper province names of old.;;;;;;;;;;;;x;
byzantine_cyrenaica_title;Byzantine Cyrenaica;;;;;;;;;;;;;x
byzantine_cyrenaica_desc;While we advance West we could restore the original names of the provinces of Cyrenaica.;;;;;;;;;;;;x;
byzantine_tripolitania_title;Byzantine Tripolitania;;;;;;;;;;;;;x
byzantine_tripolitania_desc;The Province of Tripolitania should be assigned its proper name as well as its cities.;;;;;;;;;;;;x;
byzantine_tunis_title;Byzantine Tunisia;;;;;;;;;;;;;x
byzantine_tunis_desc;The lands of Carthage is ours, and as a symbol of our victory we should assign proper Roman names to its cities.;;;;;;;;;;;;x;
accept_armenians_title;Accept the Armenians;;;;;;;;;;;;;x
accept_armenians_desc;Armenians proved themselves to be trustworthy allies against our enemies. It would be only better if we accepted them as equals in our realm.;;;;;;;;;;;;x;
declare_lusotropicalism_title;Declare Lusotropicalism;;;;;;;;;;;;;x
declare_lusotropicalism_desc;Lusotropicalism was first used by a Brazilian sociologist Gilberto Freyre to describe the distinctive character of Portuguese imperialism overseas, proposing that the Portuguese were better colonizers than other European nations. It was believed that because of Portugal's warmer climate, and having been inhabited by Celts, Romans, Visigoths, Moors and several other peoples in pre-modern times, the Portuguese were more humane, friendly, and adaptable to other climates and cultures.;;;;;;;;;;;;x;
integrate_pueblo_title;Integrate Pueblo Indians;;;;;;;;;;;;;x
integrate_pueblo_desc;The time has come to integrate the Pueblos in the north into the fabric of our country.;;;;;;;;;;;;x;
integrate_texans_title;Integrate the Texans;;;;;;;;;;;;;x
integrate_texans_desc;The Texans have a similar culture to us and share history with us and now that the Americans have shown that they can't protect them the Texans will have to call their state Tejas and realize that they are infact Mexicans as well.;;;;;;;;;;;;x;
integrate_afro_caribeno_title;Integrate Afro Caribenos;;;;;;;;;;;;;x
integrate_afro_caribeno_desc;The Caribenos have been an integral part of our country for a long time, but their toiling brothers from Africa have yet to be considered such. We will give them the same rights as the Caribenos, even though large parts of the country do not view them as equals.;;;;;;;;;;;;x;
the_port_of_novorossiysk_title;The Port of Novorossiysk;;;;;;;;;;;;;x
the_port_of_novorossiysk_desc;After our conquest of Sudjuk-Kale, an Ottoman port, we've been thinking of rebuilding it to suit our needs an change the name to something more Russian. We'll have to redirect all our naval building efforts in the region towards it.;;;;;;;;;;;;x;
aim_of_byzantine_conquest;Aim of Byzantine conquest;;;;;;;;;;;;;
aim_of_byzantine_conquest_desc;This province is the current target of the Byzantine expansion;;;;;;;;;;;;;
RGO_education_1;Local Education 10%;;;;;;;;;;;;;
RGO_education_2;Local Education 20%;;;;;;;;;;;;;
RGO_education_3;Local Education 30%;;;;;;;;;;;;;
RGO_education_4;Local Education 40%;;;;;;;;;;;;;
RGO_education_5;Local Education 50%;;;;;;;;;;;;;
RGO_education_6;Local Education 60%;;;;;;;;;;;;;
RGO_education_7;Local Education 70%;;;;;;;;;;;;;
RGO_education_8;Local Education 80%;;;;;;;;;;;;;
RGO_education_9;Local Education 90%;;;;;;;;;;;;;
RGO_education_10;Local Education 100%;;;;;;;;;;;;;
RGO_education_0;Local Education 0%;;;;;;;;;;;;;
southern_plantations;Southern Plantations;;;;;;;;;;;;;
ziemia_obiecana_title;Ziemia Obiecana;;;;;;;;;;;;x
ziemia_obiecana_desc;"Ziemia Obiecana" ("Promised Land") was popular term for the city of Lodz - center of polish industrial revolution which population grew from 1000 in 1827 to 500 000 in 1914.;;;;;;;;;;;;;x
ziemia_obiecana;Ziemia Obiecana;;;;;;;;;;;;;
